"source_artifact_name"	"artifact_category"	"source_size"	"source_checksum"	"publication_action"	"exclusion_reason"	"published_relative_path"	"published_checksum"
"run/ingestion_full/gene_index.tsv"	"closure_artifact"	"5807895"	"25f2e4f78a174e043353007908cbdf0b28e2366e13cfffe94206a4a10622b377"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/ingestion_full/ingestion_snapshot.json"	"closure_artifact"	"1848"	"97310c6497af89d6d5e1598c34ed765f8904c9332f04fc4033f5c49a0cf4544a"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/ingestion_full/model_index.tsv"	"closure_artifact"	"3021612"	"29afc6f8f399ef83717e72d12a08956b9568a32afde9779046e298fe24e9a511"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/ingestion_full/reference_index.tsv"	"closure_artifact"	"324369"	"34204542cae4037d67a7c48d4a960d0ab9467fdbc4b1715d57dabe3e338df6a9"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/ingestion_subset/coverage_summary.json"	"closure_artifact"	"865"	"e66e55c1d387dffa1d33d5df299191f8202524d022de1e52784aebe6fd883e19"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/ingestion_subset/dependency_probability_subset.tsv"	"closure_artifact"	"7926611"	"989e7e10218afd794e7bad4456e4896211abf59a09bb413e72bf3a86f38d0910"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/ingestion_subset/gene_effect_subset.tsv"	"closure_artifact"	"8131033"	"aa180727e3b4333bbc3ec5a5222983a2153f0cb9c8c07daa00086895dc735813"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/ingestion_subset/gene_index.tsv"	"closure_artifact"	"5807895"	"25f2e4f78a174e043353007908cbdf0b28e2366e13cfffe94206a4a10622b377"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/ingestion_subset/ingestion_snapshot.json"	"closure_artifact"	"99682"	"b69d56f9fa5a4c449a18142ad685b29b13b3c430b4d743c8fe9f13bdbd472105"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/ingestion_subset/model_index.tsv"	"closure_artifact"	"3021612"	"29afc6f8f399ef83717e72d12a08956b9568a32afde9779046e298fe24e9a511"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/ingestion_subset/reference_index.tsv"	"closure_artifact"	"324369"	"34204542cae4037d67a7c48d4a960d0ab9467fdbc4b1715d57dabe3e338df6a9"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/input_checksums.tsv"	"closure_artifact"	"1069"	"e503072e49bb90f5aa347404df4429f644f7f20c09ba9d4a351afb8ae65674d1"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/integration/activation_readiness.json"	"closure_artifact"	"563"	"2f4198c3d2acba39d817232a1b148f7a1aaf65f23dca4dc10dec61032a0eb899"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/integration/baseline_preservation.json"	"closure_artifact"	"1159"	"106cfab62d1fce2039dff7a17e1a924a7902a44fc2e46fd9b638a0f3bf3b3950"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/integration/candidate_overlay.tsv"	"closure_artifact"	"15871"	"fd4253001338d77d5d7909980c566002ac74fd5020bd968b52351bf1463cab27"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/integration/dependency_aware_profile_candidate.json"	"closure_artifact"	"1162"	"5c1e1b3340384942a6a856fa02dab5d5cd9b5ca804c8696de6b7446437b50f3f"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/integration/dependency_integration_manifest.json"	"closure_artifact"	"651"	"dcc748d636e9e05a8a8ec02134dd09e3973c9f78ca0a2b92207541c8895db5ed"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/integration/input_compatibility.json"	"closure_artifact"	"630"	"46f2b3594e9ae6666d468720c588c4a6334480ffc26067c099e035b8ebe69ed8"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/integration/integration_criteria.tsv"	"closure_artifact"	"2597"	"b2d7d5de2d3851ab352589656e6d9aa94c8850fe41271abb37494adee0b90ad7"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/integration/integration_gate_decision.json"	"closure_artifact"	"5276"	"4d0b3599436dc500fc188329fa0c5c1a86672533aab76a823c73725f0efbb357"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/integration/integration_report.md"	"closure_artifact"	"292"	"4bcfbd244336e1c50b8c1df1a2637520e8e74fefbc840f748d2a757e5031bfa7"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/limitations.tsv"	"closure_artifact"	"641"	"135a8a46b1fccad9b7c166ceeb40782c202c568641997f75b2b86c01278e5a6f"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/output_checksums.tsv"	"closure_artifact"	"5558"	"80685511cc32f30a6605bcadec119e8fd8b53f07cc1f44c6d921c08017937c06"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/profiles/dependency_coverage_summary.json"	"closure_artifact"	"179"	"4868c2938aa6df46013773db65d23fc8b2ada79a11d83b73807a99e3fe9691a8"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/profiles/dependency_profile_manifest.json"	"closure_artifact"	"24709"	"beeeeb04a67eb99cef8ebad0725f3770a0b3a90d1eda2a8005bccc14bf69dbe2"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
"run/profiles/dependency_profile_summary.tsv"	"closure_artifact"	"81025"	"ab70ae55251219113c7cc988e54fded7dc0b289310bcc8f21ce31a65438af983"	"excluded"	"not a repository-safe aggregate publication artifact"	""	""
